Site SKU,Master code,Name,Site price (incl),Master retail (incl),Delta (master - site)
MMR-38021-BK,MMR-38021-BK,"Mastodon Spark Plug Wire Set, Universal",946.45,949.99,+3.54
MMR-3814,MMR-3814,Mastodon Header Gasket For 58-78 Big Block Chrysler,146.46,149.99,+3.53
MMR-3813,MMR-3813,Mastodon Header Gasket For 75-91 Small Block Chrysler,146.46,149.99,+3.53
MMR-11361,MMR-11361,"Mastodon Valve Cover Breather, Push Style",193.52,189.99,-3.53
MMR-32030,MMR-32030,Mastodon Water Neck,236.46,239.99,+3.53
PK-NWA11593B,PK-NWA11593B,"Depo Racing Tachometer, 115mm, LED, 0-10 000 rpm",5366.46,5369.99,+3.53
MMR-1626,MMR-1626,Mastodon Racing Radiator Cap,106.48,109.99,+3.51
MMR-02069,MMR-02069,Mastodon Assorted Vacuum Line Cap Kit,103.50,99.99,-3.51
BB608J30,BB608J30,Enginetech Big end Bearing 351 Windsor,593.48,589.99,-3.49
BB608J40,BB608J40,Enginetech Big end Bearing 351 Windsor,593.48,589.99,-3.49
BB608J20,BB608J20,Enginetech Big end Bearing 351 Windsor,593.48,589.99,-3.49
MMR-49014,MMR-49014,Mastodon Mechanical Fuel Pump 6 PSI BBF 429/460,856.53,859.99,+3.46
EDL-7280,EDL-7280,"Edelbrock Gaskets for Intake Manifold, Pontiac, 32",383.44,379.99,-3.45
HUS-3162014,HUS-3162014,Hurst Pistol-Grip Quarter Stick Shifter C4/C6,11343.44,11339.99,-3.45
MMR-12037,MMR-12037,Mastodon LS Engine 36″ Stainless Braided Throttle Cable,646.55,649.99,+3.44
MMR-25100,MMR-25100,SBC 3 Groove Pulley LWP Aluminium Mastodon,1016.55,1019.99,+3.44
MMR-12036,MMR-12036,SS Braided Flex Kickdown Transmission Cable for Chrysler 904,646.55,649.99,+3.44
MMR-25025,MMR-25025,Mastodon Chrome Low Mount Alternator Bracket SBC,646.55,649.99,+3.44
MMR-12033-BL,MMR-12033-BL,Mastodon 24 Inch Universal Braided Throttle Cable Black,646.55,649.99,+3.44
MMR-12033,MMR-12033,Mastodon 24 Inch Universal Braided Throttle Cable,646.55,649.99,+3.44
MMR-12006,MMR-12006,Mastodon Braided Kickdown Cable for Chrysler 727,646.55,649.99,+3.44
MMR-12007,MMR-12007,Mastodon Braided Kickdown Cable for TH700-R4,646.55,649.99,+3.44
MMR-AT39020-C,MMR-AT39020-C,Mastodon Chrome Stainless Steel Engine Oil Dipstick SBC,436.56,439.99,+3.43
NO.94,NO.94,Prosport Universal Fuel Tank Float,173.39,169.99,-3.40
MMR-1009-SL,MMR-1009-SL,"Mastodon Throttle Body GM, LS 92mm, for LSXR Intake",3676.60,3679.99,+3.39
MMR-7101,MMR-7101,Mastodon 12 inch Oval Reusable Air Filter Element,446.60,449.99,+3.39
ARP 134-2501,ARP 134-2501,ARP Damper Harmonic Balancer Bolt Kit SBC,2273.37,2269.99,-3.38
MMR-11135,MMR-11135,Mastodon 90 Degree Water Pump Fitting 5/8 Hose,286.61,289.99,+3.38
MMR-58011,MMR-58011,Mastodon 2.5″ Reusable Copper Header Gaskets SBC/BBC (Pair),263.36,259.99,-3.37
HLY-6-519-2,HLY-6-519-2,"HOLLEY Needle Steel Seat Size 0.150, Adjustable",1376.63,1379.99,+3.36
HLY-26-105,HLY-26-105,Holley Performance Vacuum Cap Assortment,1013.33,1009.99,-3.34
WA6037B(C),WA6037B(C),"Prosport Performance Water Temperature Gauge, 60mm",2166.65,2169.99,+3.34
MMSMTA-24FT,MMSMTA-24FT,RPM Signal Filter 24,156.66,159.99,+3.33
MMR-LY-HL-001-X-CH,MMR-LY-HL-001-X-CH,Mastodon Chrome 7 inch LED Headlight,1106.67,1109.99,+3.32
MMR-8513P,MMR-8513P,Mastodon Steering Column,6516.67,6519.99,+3.32
KD1150,KD1150,K24 Adjustable EP3 Style Idler Pulley & Belt Kit f,3066.67,3069.99,+3.32
EDL-4449,EDL-4449,Edelbrock Signature Series Chrome Valve Covers,1393.29,1389.99,-3.30
MMR-58005,MMR-58005,Mastodon BBC Steel Core Rubber Valve Cover Gasket,323.29,319.99,-3.30
MMR-58004,MMR-58004,Mastodon Ford Fe Steel Core Rubber Valve Cover Set,323.29,319.99,-3.30
MMR-58006-R,MMR-58006-R,Mastodon SBF Ford Window Rubber Valve Cover Gasket,323.28,319.99,-3.29
MMR-13137,MMR-13137,Mastodon GM Chrome Door Window Crank Handle Pair S,323.28,319.99,-3.29
121807,121807,Horn Button 6 Bolt Plastic,323.28,319.99,-3.29
MMR-09057,MMR-09057,Mastodon Red Male Dist Cap & Rotor SBC,516.71,519.99,+3.28
MMR-80842,MMR-80842,"Mastodon GM Automatic Shifter, Pro Ratchet, Aluminum",12696.72,12699.99,+3.27
ARP 129-0901,ARP 129-0901,ARP Bellhousing Bolt Kits,626.75,629.99,+3.24
MMR-38023,MMR-38023,Mastodon High-Performance Plug Wires 8mm Ceramic 180-Deg,1993.23,1989.99,-3.24
P1534-8-00,P1534-8-00,Enginetech SBC Flat top pistons,7946.76,7949.99,+3.23
MMR-190,MMR-190,"Mastodon Power Steering Pulley, GM, Aluminium 1 V",913.22,909.99,-3.23
CC-7502-16,CC-7502-16,"COMP Cams Pushrods, Chromoly, Heat-Treated, 5/16 i",5983.20,5979.99,-3.21
CC-7693-16,CC-7693-16,COMP Cams Magnum Pushrods,5983.20,5979.99,-3.21
P1526-8-0,P1526-8-0,Enginetech Piston Ford Flat Top 4BBL 289/302 Winds,4066.78,4069.99,+3.21
P1526-8-20,P1526-8-20,Enginetech Piston Ford 351 Windsor,4066.78,4069.99,+3.21
P1526-8-30,P1526-8-30,Enginetech Piston Ford 351 Windsor,4066.78,4069.99,+3.21
P1526-8-40,P1526-8-40,Enginetech Piston Ford Flat Top 4BBL 289/302 Winds,4066.78,4069.99,+3.21
P1526-8-60,P1526-8-60,Enginetech Pistons Ford 351 Windsor,4066.78,4069.99,+3.21
MMR-25030,MMR-25030,Mastodon Pump Bracket,1073.18,1069.99,-3.19
MMR-100106,MMR-100106,Mastodon Alternator 1 Wire 140 Amp V-belt – Chrome,3216.81,3219.99,+3.18
MMR-25027,MMR-25027,"Mastodon Accessory Brackets, Gm Small Block Saginaw Adj",603.15,599.99,-3.16
MMR-3252701-RAW,MMR-3252701-RAW,Mastodon Intake Manifold Performer EPS,5383.15,5379.99,-3.16
TS163X,TS163X,Tim Set GM Chevy 283 305 327 350 383 400 Dbl Rl 3 K,2436.86,2439.99,+3.13
MMR-SBC-180-PRO,MMR-SBC-180-PRO,Mastodon SBC 180CC Cylinder Head Assembled,25523.10,25519.99,-3.11
MMR-7702,MMR-7702,Ready to Run Distributor Ford Windsor 302,3983.09,3979.99,-3.10
MMR-8491-P,MMR-8491-P,Mastodon 2-1/4 Inch Finned Transmission Oil Pan TH350,2456.91,2459.99,+3.08
MMR-235012,MMR-235012,Mastodon Aluminum Roller Rocker Arms SBF 351/302 Windsor,5163.07,5159.99,-3.08
MMR-9152,MMR-9152,"Mastodon Radiator 24″ 3-Row, Ford",4983.07,4979.99,-3.08
MMR-6066-NE,MMR-6066-NE,Mastodon Fender Washer Neochrome,73.01,69.99,-3.02
MMR-1609ABK-2BK,MMR-1609ABK-2BK,Mastodon Washable Full Flow Round Air Filter BK,1546.97,1549.99,+3.02
MMR-25104,MMR-25104,Mastodon SBC Lower Double Groove Pulley Long Water Pump,896.97,899.99,+3.02
EDL-4264,EDL-4264,Edelbrock Elite Series Valve Covers Ford,3882.98,3879.99,-2.99
MMR-3303,MMR-3303,Mastodon Ignition Switch Panel Type C Carbon Fibre,1102.98,1099.99,-2.99
216EVOFL-PK-R,216EVOFL-PK-R,"Depo Racing Fuel Gauge, 60mm, LED",2252.98,2249.99,-2.99
MMR-09052,MMR-09052,Mastodon Air Cleaner Spacers 1 ” Aluminium,387.04,389.99,+2.95
LOK-KDP-2350HT,LOK-KDP-2350HT,Lokar Hi-Tech Chevy Carburetor TH350 Automatic Kickdown,3087.05,3089.99,+2.94
LOK-KDP-20C6HT,LOK-KDP-20C6HT,Lokar Hi-Tech Ford Carburetor C6 Automatic Kickdown,3087.05,3089.99,+2.94
MMR-128582,MMR-128582,Mastodon Lower Swivel Column Mounts,907.05,909.99,+2.94
EDL-4603,EDL-4603,Edelbrock Signature Series Valve Covers 289-351 Winsor,1952.92,1949.99,-2.93
MMR-3202,MMR-3202,Mastodon SBC Vortec Intake Manifold,4327.07,4329.99,+2.92
MMR-9588-C,MMR-9588-C,Mastodon Flexplate Dust Cover Vented (GM TH350/TH400),1102.91,1099.99,-2.92
MMR-25093,MMR-25093,Mastodon Battery Hold Down Mount Billet,1487.08,1489.99,+2.91
MMR-25039,MMR-25039,Mastodon Universal LS Engine Motor Mounts,1487.08,1489.99,+2.91
MMR-43011,MMR-43011,Mastodon LS Swap Mounts SA – Red Poly Engine,1487.08,1489.99,+2.91
MMR-25106,MMR-25106,Mastodon Billet Aluminium Ford 351C Alternator Bra,1487.08,1489.99,+2.91
MMR-8236,MMR-8236,Mastodon Universal Window Handles 3 inch Chrome,292.89,289.99,-2.90
MM6GSETESP-CG-GPS,MM6GSETESP-CG-GPS,6 Gauge Set Classic White with orange needle,8582.89,8579.99,-2.90
20-854,20-854,Canton Racing Braided Engine Dipstick SS,1737.11,1739.99,+2.88
CC440,CC440,Enginetech Ford Windsor Cam Bearing,727.13,729.99,+2.86
MMR-91611285-RAW,MMR-91611285-RAW,"Mastodon Intake Manifold, SBC, Dual Plane, Black",5917.13,5919.99,+2.86
CR-15-751,CR-15-751,Canton Racing 15-751 Oil Pump Pickup Big Block For,1302.84,1299.99,-2.85
GW-EW004-63,GW-EW004-63,Exhaust Cut Out 63mm,2387.14,2389.99,+2.85
MMR-32006,MMR-32006,Dual Electric Fan Control Harness South Africa,597.15,599.99,+2.84
MMR-50011,MMR-50011,Mastodon Ignition Coil,812.80,809.99,-2.81
MMR-6118,MMR-6118,Mastodon LS2 6.0L Engine Gasket Set,4777.18,4779.99,+2.81
MMR-6117,MMR-6117,Mastodon LS1 5.7L Engine Gasket Set,4777.18,4779.99,+2.81
BC200J25,BC200J25,Enginetech Ford 289/302 Windsor Rod Bearing,472.78,469.99,-2.79
MMR-75024,MMR-75024,"Mastodon Valve Cover, Aluminum LS",6657.21,6659.99,+2.78
MMR-34042,MMR-34042,Mastodon Rubber Shifter Boot Round,287.21,289.99,+2.78
MMR-33015,MMR-33015,Mastodon GM Ignition Module,287.21,289.99,+2.78
IS84A,IS84A,Enginetech Ford 351 Cleveland Oil Pump Shaft,217.22,219.99,+2.77
MMR-11076,MMR-11076,Mastodon Camaro Hood Bumper Stopper Pair,262.74,259.99,-2.75
MMR-055,MMR-055,Mastodon Universal Manual Master Cylinder Rod Kit,522.72,519.99,-2.73
MMR-076,MMR-076,TH350 Stainless Steel Kick Down Cable,522.72,519.99,-2.73
MMR-083,MMR-083,Mastodon 36 Inch Universal Braided Throttle Cable,522.72,519.99,-2.73
MMR-081,MMR-081,"Mastodon Universal Throttle Cable, 24 Inch, S/S Br",522.72,519.99,-2.73
MMR-075,MMR-075,"Mastodon Transmission Kickdown Cable, Ford C6 And C4",522.72,519.99,-2.73
F351W-7,F351W-7,Enginetech Gasket Set 351W,1632.71,1629.99,-2.72
MMR-BD-5560-,MMR-BD-5560-,"Mastodon Disc Brake Rotor (Ventilated, Drilled & Slotted)",1752.68,1749.99,-2.69
MMR-3186-BK,MMR-3186-BK,Mastodon Fan with Curved Blades 10inch 80W,452.67,449.99,-2.68
MMR-48319,MMR-48319,Mastodon Universal U bolts 1 1/16 Cap,192.66,189.99,-2.67
MMR-48314,MMR-48314,Mastodon Universal Drive Shaft U bolts 1-1/8 Inch,192.66,189.99,-2.67
EDL-5767,EDL-5767,Edelbrock Sure Seat Valve Springs,862.66,859.99,-2.67
ARP 134-3601,ARP 134-3601,ARP High Performance Series Cylinder Head Bolt Kit,4562.65,4559.99,-2.66
MMR-LY-BT-001B,MMR-LY-BT-001B,Mastodon 7 Bracket (Black),357.33,359.99,+2.66
MMR-LY-BT-5.75 B,MMR-LY-BT-5.75 B,Mastodon 5.7 Bracket (Black),357.33,359.99,+2.66
MMR-1614ACR-3RD,MMR-1614ACR-3RD,Mastodon Full Flow 14″Round Air Filter Assem Kit R,2062.62,2059.99,-2.63
TS430X,TS430X,Enginetech Timing Set Ford 302 Windsor,3122.61,3119.99,-2.62
MMR-8859,MMR-8859,Mastodon SBC Lower Triple Groove Pulley For Long W,837.37,839.99,+2.62
MMR-6061-A,MMR-6061-A,Mastodon Steering Wheel Adapter 6 Holes Polished,1287.38,1289.99,+2.61
MMR-6104-B,MMR-6104-B,Mastodon Steering Wheel Adapter 9 Holes Black,1287.38,1289.99,+2.61
MMR-3905-H-BK,MMR-3905-H-BK,Mastodon Billet Hood Hinges 64-66 Mustang,7312.59,7309.99,-2.60
MMR-3904-H,MMR-3904-H,Mastodon Billet Hood Hinges Camaro 67-69,7312.59,7309.99,-2.60
MMR-3905-H-SL,MMR-3905-H-SL,Mastodon Billet Hood Hinges 64-66 Mustang,7312.59,7309.99,-2.60
MMR-58049-A,MMR-58049-A,Mastodon 1/2 Carburettor Spacer For 4Bb,452.59,449.99,-2.60
MMR-4142,MMR-4142,Mastodon 2inch Stainless Steel V-Band Flange Clamp,647.40,649.99,+2.59
PK10B,PK10B,Enginetech Cleveland Plug Kit,307.42,309.99,+2.57
MMR-11261,MMR-11261,Mastodon LS Vent Tube Bypass Seal Gasket (LS Swap),232.55,229.99,-2.56
MMR-11373,MMR-11373,"Mastodon Oil Breather Cap, Twist On, Chrome,",177.45,179.99,+2.54
MMR-7604,MMR-7604,Mastodon SBF Windsor Fuel Pump Block Off Plate,167.47,169.99,+2.52
MMR-9512,MMR-9512,Mastodon High-Volume Fan 16″,862.50,859.99,-2.51
MMR-36-43050,MMR-36-43050,Mastodon 0.25mm oversized Jeep 3.6 Main Bearing,1437.50,1439.99,+2.49
MMR-FSS-8001,MMR-FSS-8001,Mastodon Starter 12V 9T Ford F100/F250 USA Short Nose,6727.50,6729.99,+2.49
MMR-206,MMR-206,Mastodon Shifter Boot Small Round Black Rubber,327.51,329.99,+2.48
MMR-204,MMR-204,Mastodon Rubber Shifter Boot with Plate (Chrome),327.51,329.99,+2.48
MMR-105,MMR-105,"Mastodon Throttle Return Spring Kit, Chrome",327.51,329.99,+2.48
CC-7831-16,CC-7831-16,"COMP Cams High Energy Pushrods High Energy, Steel,",1622.45,1619.99,-2.46
CC-7812-16,CC-7812-16,COMP Cams High Energy Pushrods Steel Heat-Treated,1622.45,1619.99,-2.46
MMR-31921,MMR-31921,"Mastodon Disc Brake Kit With E-Brake, 9 Inch Bolt-",14752.45,14749.99,-2.46
BLK3504STDSJ,BLK3504STDSJ,"Engine Block, 350, 4 Bolt Main, Std",14197.53,14199.99,+2.46
BLK4004BLT030STDSJ,BLK4004BLT030STDSJ,"Engine Block, 400,4 bolt Main,030",14197.53,14199.99,+2.46
MMR-8591,MMR-8591,Mastodon Short Shift Gear Lever Kit,1392.43,1389.99,-2.44
MMR-25099,MMR-25099,"Mastodon, 2 Groove Crankshaft Pulley, LWP",1122.43,1119.99,-2.44
MMR-8854,MMR-8854,Mastodon SBC Upper Long Water Pump Pulley Single Groove,502.42,499.99,-2.43
MMR-9544-A,MMR-9544-A,Mastodon Stainless Steel 48 Heater Hose Kit,1427.56,1429.99,+2.43
BC293J030,BC293J030,Enginetech Ford 351 Cleveland Main Bearing (0.30mm,1432.41,1429.99,-2.42
MMR-58023,MMR-58023,Mastodon Aluminum Carb Spacers & Adapters Holley,1192.41,1189.99,-2.42
MMR-49016,MMR-49016,Mastodon Mechanical Fuel Pump Ford 351 Cleveland,1192.41,1189.99,-2.42
MMR-6181,MMR-6181,Mastodon Tall Alum Finned Valve Cover 1958-86 SBC w/ Hole,3087.58,3089.99,+2.41
MMR-2001,MMR-2001,Mastodon Chevy LS Starter 12V 9T 10MT Chevrolet,8067.62,8069.99,+2.37
P1525-30,P1525-30,Enginetech 351C Dish Top Pistons,3447.65,3449.99,+2.34
P1525-40,P1525-40,Enginetech 351C Pistons,3447.65,3449.99,+2.34
P1525-60,P1525-60,Enginetech 351C Top Pistons,3447.65,3449.99,+2.34
MMR-GW-007,MMR-GW-007,"Mastodon Block Hugger Headers, Chevy LS1-LLS6 T SS",7097.66,7099.99,+2.33
TS358,TS358,Enginetech Timing Set Ford Windsor 2-Piece Seal,582.30,579.99,-2.31
MMR-0132-S,MMR-0132-S,LS V8 Aluminum High Performance Intake Manifold,7977.68,7979.99,+2.31
MMR-11202,MMR-11202,Mastodon Sbc Bronze Dist Gear 500,622.30,619.99,-2.31
MMR-11201,MMR-11201,Mastodon Sbc Bronze Dist Gear 491,622.30,619.99,-2.31
MMR-PD-002-BLACK,MMR-PD-002-BLACK,Mastodon Pedal Bracket Assembly Black,2097.69,2099.99,+2.30
MMR-235037,MMR-235037,Mastodon SBF Aluminum Rocker Arms 1.6 Ratio 3/8inch,6142.28,6139.99,-2.29
MMR-235009,MMR-235009,Mastodon Aluminium Rocker Arms BBC 454 1.6,6142.28,6139.99,-2.29
BC296J030,BC296J030,EngineTech Main Bearing GM Chevy,847.73,849.99,+2.26
MMR-8442,MMR-8442,Mastodon Driver Side Aluminum Dipstick 58-79 SBC,2877.73,2879.99,+2.26
KD2020,KD2020,K&N Apollo Closed Air Intake System Universal,1022.22,1019.99,-2.23
MMR-20047-BK,MMR-20047-BK,"Mastodon Air Cleaner Filter Element, Washable",332.20,329.99,-2.21
MMR-20047-R,MMR-20047-R,"Mastodon Air Cleaner Filter Element, Washable",332.20,329.99,-2.21
MMR-HEI-060,MMR-HEI-060,Mastodon H.E.I. Distributor Cap 8 Cylinder,132.20,129.99,-2.21
TSC-7007C-1,TSC-7007C-1,"32″ Tilt Steering Column, Manual, No Key Without A",6982.19,6979.99,-2.20
TSC-7005C-1,TSC-7005C-1,"28″ Steering Column, Manual, No Key Without Adap",6982.19,6979.99,-2.20
W-120-12069-BK,W-120-12069-BK,"Wilwood Parking Brake Caliper – MC4 Mechanical, 1/8-2 Inch",2812.18,2809.99,-2.19
M192704455679,M192704455679,4 Steering Tie Rod Ends 1964-69 Plymouth Barracuda,5042.18,5039.99,-2.19
MMR-Q08,MMR-Q08,Automatic Transmission Mount Hi-Tech Shifter,11427.81,11429.99,+2.18
MMR-25081,MMR-25081,Mastodon Billet Aluminum Spark Plug Wire Looms Small Block C,1232.16,1229.99,-2.17
MMR-811,MMR-811,Mastodon Finned Oval Breather With PCV,1177.83,1179.99,+2.16
MMR-225,MMR-225,Mastodon Engine Oil Dipstick Flexible SS,912.13,909.99,-2.14
RAM-BU656,RAM-BU656,Mastodon Pilot Bushings,592.12,589.99,-2.13
MMR-73001,MMR-73001,Mastodon Intake Manifold BBC with Oval Ports,7112.11,7109.99,-2.12
MMR-74026,MMR-74026,Mastodon Intake Manifold Small Block Ford 302 V8 – Satin,7112.11,7109.99,-2.12
MMR-3808,MMR-3808,Mastodon Header Gasket For 62-95 Small Block Ford,717.89,719.99,+2.10
LOK-KDP-2727HT,LOK-KDP-2727HT,Lokar Hi-Tech kickdown kit – Chrysler Carburetor Torqueflite,3147.90,3149.99,+2.09
BB607J00,BB607J00,Enginetech Ford 351 Cleveland Rod Bearings,1212.07,1209.99,-2.08
MMR-28149,MMR-28149,Mastodon Rubber Stopper Kit + Hood Adjusters Camar,387.93,389.99,+2.06
MMR-21074,MMR-21074,Mastodon Universal Hydraulic Brake Light Switch In,387.93,389.99,+2.06
412SMTASWL270-PK,412SMTASWL270-PK,"Prosport Performance Tachometer, 115mm",4937.93,4939.99,+2.06
MMR-3802,MMR-3802,Mastodon Header Gasket For 55-91 Small Block Chevy,447.94,449.99,+2.05
MMR-PF9-3.00,MMR-PF9-3.00,"Mastodon Ring & Pinion Set, Ford 9 Inch, 3.00",7242.04,7239.99,-2.05
MMR-PF9-3.70,MMR-PF9-3.70,"Mastodon Ring & Pinion Set, Ford 9 Inch, 3.70",7242.04,7239.99,-2.05
MMR-PF9-3.50,MMR-PF9-3.50,"Mastodon Ring & Pinion Set, Ford 9 Inch, 3.50",7242.04,7239.99,-2.05
ARP 200-2902,ARP 200-2902,ARP SBC,1717.96,1719.99,+2.03
MMR-45321,MMR-45321,65000 Volt HEI Distributor Ignition Coil Mastodon,402.02,399.99,-2.03
MMR-4917000-BK,MMR-4917000-BK,"Mastodon Parking Brake Ass, Floor Mount, 11 Inch,",3012.01,3009.99,-2.02
MMR-4917000-C,MMR-4917000-C,"Mastodon Parking Brake Ass, Floor Mount, 11 Inch,",3012.01,3009.99,-2.02
SCE-4219,SCE-4219,SCE Gaskets LS Exhaust Pro Copper Embossed Exhaust,1887.97,1889.99,+2.02
MMR-28150,MMR-28150,Mastodon Chevy hood Stopper,317.98,319.99,+2.01
MMR-58046-C,MMR-58046-C,Mastodon Valve Cover SBC Cork,317.98,319.99,+2.01
MMR-39019-SS,MMR-39019-SS,stainless steel flexible dipstick – Driver Side SBC,552.00,549.99,-2.01
M011,M011,Coyote Pulley Set,32292.00,32289.99,-2.01
MMR-25005,MMR-25005,Mastodon Alternator Bracket Kit,907.99,909.99,+2.00
MMR-150107,MMR-150107,Mastodon GM Denso Starter Truk,3681.97,3679.99,-1.98
MMR-UJ002,MMR-UJ002,"Mastodon U-Joint, 9/16-26 X 3/4″-Dd",718.04,719.99,+1.95
MMR-UJ005,MMR-UJ005,"Mastodon U-Joint, 3/4-36 X 3/4″-36",718.04,719.99,+1.95
UJ006,UJ006,"U-Joint, 3/4-36 X 3/4″-Dd",718.04,719.99,+1.95
MMR-25026,MMR-25026,Power Steering Pump Mounting Bracket SBC Mastodon,581.90,579.99,-1.91
MMR-62003-B,MMR-62003-B,Mastodon Black Sb Chevy Timing Chain Cover Kit,581.90,579.99,-1.91
MMR-39015,MMR-39015,700R4 Transmission Dipstick Flexible SS Chevy,581.90,579.99,-1.91
MMR-25095,MMR-25095,Mastodon SBC Billet Aluminium SWP Pulley,581.90,579.99,-1.91
MMR-32017,MMR-32017,Mastodon Sbc Chrome Thermostat Housing,631.88,629.99,-1.89
MMR-28137,MMR-28137,Mastodon Valve Seals SBC,238.10,239.99,+1.89
MMR-11369-BK,MMR-11369-BK,"Mastodon Valve and Grommet, Billet Aluminum",541.87,539.99,-1.88
Z-8939B,Z-8939B,Zeus Clips,68.11,69.99,+1.88
TS358A,TS358A,Enginetech Ford Windsor Timing Set For 1 Piece Fue,561.86,559.99,-1.87
MMR-LY-HL-002-X-CH,MMR-LY-HL-002-X-CH,Mastodon 7 inch LED Headlight White Amber Halo Chro,1328.15,1329.99,+1.84
MMR-TH350-S,MMR-TH350-S,Mastodon Tail Housing Seal TH350 Gearbox,201.83,199.99,-1.84
MMR-45018,MMR-45018,Mastodon Universal Steering U Joint,891.83,889.99,-1.84
AP-7600 KIT-RED,AP-7600 KIT-RED,AP Racing 4 Pot Piston Disc Brake Kit – Red,22381.81,22379.99,-1.82
AP-7600 KIT-BK,AP-7600 KIT-BK,AP Racing 4 Pot Piston Disc Brake Kit – Black,22381.79,22379.99,-1.80
MMR-45014,MMR-45014,"Mastodon Steering U Joint Coupler, 3/4-36 Spline X",638.19,639.99,+1.80
MMR-22023-C,MMR-22023-C,Mastodon Radiator Hose Kit with Aluminum Caps 48′,1548.19,1549.99,+1.80
MMR-20092,MMR-20092,Mastodon Fuel Filter (3/8″)Inlet/Outlet,151.78,149.99,-1.79
MMR-NR172/3,MMR-NR172/3,Mastodon Brake Caliper with E-Brake option,5488.20,5489.99,+1.79
MMR-11371,MMR-11371,Mastodon SBC Chevy Brass Freeze Plug Kit,368.23,369.99,+1.76
MMR-3902-BK,MMR-3902-BK,"Mastodon Hood Hinge, 1971-1973 Mustang, Billet Alu",9301.74,9299.99,-1.75
MMR-8850,MMR-8850,Mastodon SBC Short Water Pump Pulley Single Groove,558.24,559.99,+1.75
TSC-7003C-1,TSC-7003C-1,"32″ Tilt Steering Column, Automatic, No Key Withou",7688.26,7689.99,+1.73
MMR-3902-SL,MMR-3902-SL,Mastodon Aluminium Hood Hinges (1971-1973 Mustang),9301.71,9299.99,-1.72
MMR-DL*890,MMR-DL*890,Mastodon Trunk Opener Kit,551.71,549.99,-1.72
MMR-3906-SL,MMR-3906-SL,Mastodon Aluminium Hood Hinges 1970-1981 Camaro,9301.71,9299.99,-1.72
FRA-203,FRA-203,Pioneer Flexplates,2238.27,2239.99,+1.72
MMR-3904-SL,MMR-3904-SL,"Mastodon Hood Hinge, 1967-1969 Camaro, Billet Alum",9301.71,9299.99,-1.72
EP83,EP83,Enginetech Oil Pump 351 Windsor,3438.29,3439.99,+1.70
MMR-39038,MMR-39038,Mastodon C4 Chrome Steel Transmission Dipstick,408.31,409.99,+1.68
MMR-COVER,MMR-COVER,Mastodon Plastic Car Cover,121.65,119.99,-1.66
BC240 STD,BC240 STD,Main Bearing Ford 302,698.34,699.99,+1.65
MMR-47026,MMR-47026,Mastodon Alternator Bracket,348.35,349.99,+1.64
MMR-47025,MMR-47025,Mastodon Alternator Bracket,348.35,349.99,+1.64
MMR-58046-R,MMR-58046-R,"Mastodon SBC Valve Cover Gasket, Steel Core, Rubber",348.35,349.99,+1.64
MMR-SBC195IV,MMR-SBC195IV,Mastodon SBC 195 Intake Valve Size 2.08 4.91 Stem 8.0mm,411.62,409.99,-1.63
MMR-SBC180EV,MMR-SBC180EV,Mastodon SBC 180 Exhaust Valve Size 1.6 L 4.91 Stem 11/32,411.62,409.99,-1.63
MMR-SBC180IV,MMR-SBC180IV,Mastodon SBC 180 Intake Valve Size 2.02 L 4.91 Stem 11/32,411.62,409.99,-1.63
MMR-1112-P,MMR-1112-P,Mastodon 600CFM Carburetor [Holley-Style],6891.61,6889.99,-1.62
P1534-8-060,P1534-8-060,PISTON GM Chevy 5.7L 350 FLAT TOP,7788.38,7789.99,+1.61
BB214J010,BB214J010,Enginetech Ford 289302 Windsor Rod Bearing (0.10mm,1081.60,1079.99,-1.61
MMR-5040-SR,MMR-5040-SR,"Mastodon Aluminum Billet Fuel Cell Cap, Silver",1218.38,1219.99,+1.61
MMR-5040-BK,MMR-5040-BK,"Mastodon Aluminum Billet Fuel Cell Cap, Black",1218.38,1219.99,+1.61
MMR-5044,MMR-5044,Mastodon Fuel Tank Cap BLACK,1218.38,1219.99,+1.61
BLK2804STDSJ,BLK2804STDSJ,"Engine Block, 283, 2 Bolt Main, Std",7301.59,7299.99,-1.60
98412,98412,Howards Cams Performance Street/Strip Valve Spring,5001.59,4999.99,-1.60
MMR-3257564,MMR-3257564,Mastodon RPM Air Gap Intake Manifold Ford 351C,11121.57,11119.99,-1.58
MMR-28129,MMR-28129,Mastodon LS/LQ Viton Valve Seals,228.41,229.99,+1.58
MMR-32024,MMR-32024,Mastodon LS 160 DEG Thermostat,228.41,229.99,+1.58
MMR-28130,MMR-28130,Mastodon SBC Viton Valve Stem Seal 16set,228.41,229.99,+1.58
MMR-SP010-BL-SL,MMR-SP010-BL-SL,"Mastodon Starter Switch, Column Ignition Starter S",408.42,409.99,+1.57
MMR-25138,MMR-25138,Mastodon Weld-In Motor Mounts for SBC Engine Swaps,1228.45,1229.99,+1.54
MMR-25007,MMR-25007,Mastodon Steel Throttle Return Bracket Kit Holley,258.45,259.99,+1.54
P1534-8-040,P1534-8-040,Enginetech Chevy 350 Flat Top Piston Set 0.040inch,9308.47,9309.99,+1.52
MMR-0S01280-SR,MMR-0S01280-SR,Mastodon SBC Pulley Kit (D),8518.49,8519.99,+1.50
MMR-049-302,MMR-049-302,Mastodon HEI Ford Small Block Windsor,2421.45,2419.99,-1.46
MMR-049-351,MMR-049-351,HEI Ignition Distributor 65K Coil,2421.45,2419.99,-1.46
