Site SKU,Master code,Name,Site price (incl),Master retail (incl),Delta (master - site)
MMR-7601,MMR-7601,Mastodon C6 Transmission Pan Chrome,450.00,779.99,+329.99
MMR-39038-C,MMR-39038-C,Mastodon C4 Chrome Steel Transmission Dipstick,450.00,779.99,+329.99
MMR-58009,MMR-58009,Mastodon 4 Barrel Carburettor Gasket Each,35.00,339.99,+304.99
MMR-194,MMR-194,"Mastodon Engine Swap Mounts, Weld-In, SBC/BBC",1500.00,1199.99,-300.01
PK 49-1006,PK 49-1006,Speedmaster SBF Intake Manifold Gasket,350.00,639.99,+289.99
MMR-38024,MMR-38024,Mastodon 90 Deg Ceramic Boot Spark Plug Wire Set,1950.00,1669.99,-280.01
MMR-25012,MMR-25012,Power steering bracket universal,1393.34,1119.99,-273.35
BC296JSTD,BC296JSTD,Enginetech Main Bearing GM Chevy Small Block Large,618.90,859.99,+241.09
BB608J00,BB608J00,Enginetech Big end Bearing 351 Windsor,593.48,829.99,+236.51
BB608J10,BB608J10,Enginetech Big end Bearing 351 Windsor,593.48,829.99,+236.51
MMR-3273,MMR-3273,Mastodon Electrical EFI Fuel Pump 4 BAR Silver,450.00,219.99,-230.01
MMR-5581-BK,MMR-5581-BK,Mastodon Universal Fuel Log 8-20 & 9/16-20 Black A,1000.00,779.99,-220.01
BC296J040,BC296J040,Enginetech SBC Main Bearing Large Journal (0.40mm),850.00,649.99,-200.01
MMR-1076-SR,MMR-1076-SR,"Mastodon Chevy LS Adapter,Cathedral Port to Rectangular",4500.00,4679.99,+179.99
MMR-7145,MMR7145,Mastodon Washable Elements 14″x5″ Red,650.00,479.99,-170.01
MMR-8520-BK,MMR-8520-BK,Mastodon Eliminator Floor Mount Throttle Pedals Black,1200.00,1039.99,-160.01
S55S1,S55S1,Enginetech Oil Pump Pickup Screen GM SBC,431.25,589.99,+158.74
BC307 STD,BC307 STD,Rod Bearings Ford 5.8L 351,650.00,789.99,+139.99
MMR-11216,MMR-11216,"Mastodon Coil Mount Bracket, Chrome",350.00,219.99,-130.01
MMR-58063,MMR-58063,Mastodon SBC Intake Manifold Gasket Set,350.00,249.99,-100.01
MMR-26086,MMR-26086,"Mastodon Plug Wire Separators, Linear, SBC, Chrome",557.34,469.99,-87.35
MMR-20050-R,MMR-20050-R,Mastodon Air Cleaner Element Filter 12″x 2″ Oval R,500.00,429.99,-70.01
MMR-13265X,MMR-13265X,Mastodon C4 Transmission Gasket SBF Cork,80.00,119.99,+39.99
MMR-PG-GC,MMR-PG-GC,Mastodon GM Powerglide Gasket Cork,80.00,119.99,+39.99
MMR-TH-400-G,MMR-TH-400-G,Mastodon TH400 Sump Gasket GM Trans Cork,80.00,119.99,+39.99
MMR-11366,MMR-11366,Mastodon Carburetor Studs Kit 5/16″ X 2 1/2″,154.82,119.99,-34.83
PCE261-1018,PCE261-1018,Speedmaster SBF W Roller Rockers Arm Set 3/8 1.6 Ratio,5750.00,5729.99,-20.01
MMR-39037,MMR-39037,Mastodon 24″ TH350 Chrome Transmission Dipstick,450.00,439.99,-10.01
MMR-128503-200,MMR-128503-200,Mastodon Column Drop 3-12/4 Dia 2-1/2 inch,804.99,799.99,-5.00
MMR-91015580,MMR-91015580,Mastodon Short Water Pump SBC,1495.00,1499.99,+4.99
MMR-38026-BK,MMR-38026-BK,Mastodon Spark Plug Wire Set,1045.03,1049.99,+4.96
MMR-38026-BL,MMR-38026-BL,Mastodon Spark Plug Wire Set,1045.03,1049.99,+4.96
MMR-38020-R,MMR-38020-R,Mastodon Spark Plug Wire Set,1045.03,1049.99,+4.96
MMR-38026-R,MMR-38026-R,Mastodon Spark Plug Wire Set,1045.03,1049.99,+4.96
